7 100
researcher	res_id	ins_id	first_name	last_name	sex	date_of_birth	res_ins_date
85	310085	78025	Natasha	Potts	F	13/08/1990	19/04/2019
86	310086	78026	Darcy	Cooley	F	30/12/1956	13/06/1982
87	310087	78027	Imaani	Patterson	F	17/02/1960	14/07/1997
88	310088	78028	Bernice	Haines	F	28/02/1960	24/01/1986
89	310089	78029	Tomasz	Wong	M	16/04/1962	12/11/1989
90	310090	78030	Nabila	Hutton	F	21/06/1962	5/5/1989
91	310091	78001	Gianluca	Clegg	M	21/02/1967	24/07/1985
92	310092	78002	Bhavik	Carrillo	M	11/6/1967	19/03/1985
93	310093	78003	Abida	Joyce	F	6/4/1969	16/01/1993
94	310094	78004	Barney	Frazier	M	14/07/1970	12/4/2000
95	310095	78005	Laibah	Dale	F	8/3/1979	25/10/2009
96	310096	78006	Eve	Shah	F	24/04/1979	15/06/2010
97	310097	78007	Vivian	Conner	F	1/7/1982	18/03/2005
98	310098	78008	Jeanne	Dennis	F	4/8/1983	14/12/2007
99	310099	78009	Dillon	Merritt	M	21/08/1990	9/4/2014
100	310100	78010	Andre	Briggs	M	21/07/1991	31/08/2012
